City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
314,tura,25.5198,90.2201,75.06,98,100,4.56,IN,1691697820
315,burang,30.25,81.1667,53.62,83,100,4.03,CN,1691697821
316,puerto penasco,31.3167,-113.5333,87.91,66,40,23.0,MX,1691697605
317,tarfaya,27.9358,-12.9218,71.98,89,78,20.24,MA,1691697821
318,bodo,67.28,14.405,64.45,67,0,13.8,NO,1691697753
319,villa gesell,-37.2639,-56.973,60.06,81,100,11.72,AR,1691697821
320,klyuchi,52.2667,79.1667,63.01,91,97,9.6,RU,1691697821
321,manokwari,-0.8667,134.0833,77.58,79,42,3.91,ID,1691697821
322,port-vila,-17.7338,168.3219,65.8,55,20,11.5,VU,1691697822
323,melfi,40.9965,15.6514,67.5,50,59,1.66,IT,1691697822
324,tutong,4.8,114.65,78.89,90,98,4.85,BN,1691697822
325,jiwani,25.05,61.7417,80.58,85,100,9.71,PK,1691697822
326,mandera,3.9366,41.867,84.07,43,99,18.77,KE,1691697822
327,plesetsk,62.708,40.2916,64.31,91,15,3.11,RU,1691697823
328,port lincoln,-34.7333,135.8667,48.67,79,4,5.32,AU,1691697823
329,lautoka,-17.6167,177.4667,67.86,100,75,5.75,FJ,1691697823
330,tazacorte,28.629,-17.9293,77.97,65,0,17.27,ES,1691697823
331,marsh harbour,26.5412,-77.0636,86.29,67,29,1.92,BS,1691697823
332,mersing,2.4312,103.8405,75.11,94,20,5.75,MY,1691697824
333,brisas de zicatela,15.8369,-97.0419,90.12,58,40,6.91,MX,1691697824
334,cabo san lucas,22.8909,-109.9124,95.61,68,37,1.99,MX,1691697628
335,eregli,37.5133,34.0467,79.34,44,1,0.43,TR,1691697824
336,cloquet,46.7216,-92.4594,76.39,43,0,4.61,US,1691697676
337,itaiba,-8.9475,-37.4228,75.36,62,71,12.68,BR,1691697825
338,saint-pierre,-21.3393,55.4781,67.68,68,0,6.91,RE,1691697825
339,nizhniy kuranakh,58.8353,125.4869,62.42,67,92,6.13,RU,1691697825
340,douliu,23.7094,120.5433,82.76,99,96,1.99,TW,1691697687
341,happy valley-goose bay,53.3168,-60.3315,61.11,67,75,6.91,CA,1691697625
342,campbell river,50.0163,-125.2446,71.6,60,75,6.91,CA,1691697645
343,puerto aysen,-45.4,-72.7,46.44,87,100,0.0,CL,1691697755
344,beytussebap,37.5694,43.1681,74.64,27,10,3.51,TR,1691697826
345,labuan,5.2767,115.2417,79.16,88,20,0.0,MY,1691697826
346,borzya,50.3833,116.5167,61.16,88,100,4.68,RU,1691697826
347,glendive,47.1053,-104.7125,84.76,32,20,23.02,US,1691697812
348,santo antonio do ica,-3.1022,-67.9397,89.29,58,91,3.22,BR,1691697703
349,francistown,-21.17,27.5079,56.68,67,11,12.33,BW,1691697827
350,masterton,-40.9597,175.6575,39.96,96,96,3.65,NZ,1691697827
351,stephenville,32.2207,-98.2023,108.25,25,0,3.44,US,1691697827
352,cachoeira do sul,-30.0392,-52.8939,73.63,79,50,5.21,BR,1691697818
353,phan rang-thap cham,11.5667,108.9833,77.86,86,9,3.85,VN,1691697827
354,alvaraes,-3.2208,-64.8042,85.87,72,99,3.29,BR,1691697828
355,la gi,10.6667,107.7833,78.76,88,20,9.1,VN,1691697683
356,port mathurin,-19.6833,63.4167,72.84,80,36,19.37,MU,1691697828
357,lu-uk,5.9684,121.3122,78.46,86,100,3.62,PH,1691697828
358,uberaba,-19.7483,-47.9319,88.38,23,0,5.75,BR,1691697782
359,howrah,22.5892,88.3103,84.2,84,75,6.91,IN,1691697633
360,pacific grove,36.6177,-121.9166,76.64,76,0,11.5,US,1691697829
361,gypsum,39.6469,-106.9517,83.35,24,0,21.85,US,1691697648
362,sumbe,-11.2061,13.8437,68.25,88,50,6.29,AO,1691697830
363,zapala,-38.8992,-70.0544,46.36,49,2,30.15,AR,1691697830
